id,primarySchoolEnrollment,secondarySchoolEnrollment,femalePrimaryCompletionRate,malePrimaryCompletionRate,malePrimaryCompletionRate,totalPublicSpendingOnEducation,adultFemaleLiteracyRate,adultMaleLiteracyRate,youthFemaleLiteracyRate,youthMaleLiteracyRate,maleChildrenOutOfPrimarySchool,femaleChildrenOutOfPrimarySchool,femaleAdolescentsOutOfPrimarySchool
133,Pakistan,2009,83.89859772,32.85655975,52.89113998,65.43683624,2.59078002,40.31462097,68.62761688,61.46266174,79.14431763,null,null,null
134,Pakistan,2010,84.59361267,33.17972946,56.11716843,68.03323364,2.286870003,41.01552963,68.90061188,62.29837036,79.50414276,null,null,null
135,Pakistan,2011,80.85917664,33.76794052,54.4838295,65.86917877,2.221750021,41.97539139,66.99114227,63.1368103,78.04241943,null,null,null
136,Pakistan,2012,80.37718964,34.9048996,58.40758133,68.15596008,2.13628006,43.07189178,69.85822296,64.47409821,80.28826141,null,null,null
137,Pakistan,2013,79.65857697,36.00167084,58.37319183,68.67778778,2.493439913,41.97494125,68.62934113,63.43799973,79.40380859,null,null,null
138,Pakistan,2014,84.30747223,37.32049179,58.68865967,69.91909027,2.465929985,44.28342056,69.06681061,65.54779053,79.76598358,null,null,null
139,Pakistan,2015,85.08992004,39.60364914,null,null,2.650019884,null,null,null,null,null,null,null
140,Pakistan,2016,91.31745911,40.9597702,58.84320068,70.61134338,3.002919912,null,null,null,null,null,null,null
141,Pakistan,2017,90.58917236,40.40158844,null,null,2.89951992,46.46767044,71.11599731,67.53713226,81.26351929,null,null,null
142,Pakistan,2018,94.32820129,42.67465973,64.24922943,77.41831207,null,45.39839935,69.27658081,64.35005188,79.78309631,null,null,null
143,Pakistan,2019,95.48413849,44.8681488,67.6683197,77.82138062,2.507550001,46.49003983,69.28746033,65.18557739,79.72924805,null,null,null
144,Pakistan,2020,null,null,null,null,null,null,null,null,null,null,null,null
