,id,peopleUsingBasicDrinkingWaterServices,peoplePracticingOpenDefecation,peopleUsingBasicSanitationServices,peopleUsingSafeSanitationServices,ruralPeopleUsingBasicSanitationServices,urbanPeopleUsingBasicSanitationServices,peopleWithBasicHandwashingFacilities,ruralPeopleWithBasicHandwashingFacilities,urbanPeopleWithBasicHandwashingFacilities,maleUnemploymentRate,femaleUnemploymentRate,totalUnemploymentRate,yearsOfMaternalLeave
99,100,17.12444944,76.22762472,23.40012045,33.05882638,24.14455283,29.90516082,37.46754544,,,,,,
100,101,17.53024971,77.51271866,23.00504171,33.75440047,24.60127561,30.17334702,38.58194417,,,,,,
101,102,17.93202871,78.80855432,22.60757159,34.4702898,25.07123103,30.44013638,39.70911813,,,,,,
102,103,18.32863851,80.11513169,22.21017321,35.2058112,25.55433685,30.70552892,40.84906731,32.0001104,25.00286057,3.690000057,3.839999914,,40.7745095
103,104,18.72015588,81.43245078,21.81285753,35.96118435,26.05075831,30.96952463,42.00179172,32.13890107,25.00286057,,,,40.7745095
104,105,19.10647338,82.76051158,21.41605195,36.73638446,26.56055695,31.23212352,43.16729135,32.27642995,25.00286057,3.380000114,4.010000229,,40.7745095
105,106,19.48767868,84.09931409,21.01977234,37.53156546,27.08385391,31.49332557,44.34556621,32.4126969,25.00286057,5.349999905,3.829999924,,40.7745095
106,107,19.8638587,85.44885832,20.62403473,38.34687431,27.62076539,31.75313079,45.53661629,32.54770168,25.00286057,5.059999943,3.619999886,,40.7745095
107,108,20.23484458,86.80914427,20.22948131,39.18201097,28.17119796,32.01153919,46.74044159,32.68097266,25.00286057,8.029999733,6.139999866,,40.7745095
108,109,20.60090577,88.18017193,19.83571592,40.0373347,28.73534958,32.26855076,47.95704212,32.81282331,25.00286057,9.149999619,7.590000153,,40.7745095
109,110,20.96197137,89.5619413,19.44317572,40.91261014,29.31313945,32.5241655,49.18641788,32.9429398,25.00286057,,,,40.7745095
110,111,21.31806305,90.95445239,19.05209648,41.80768804,29.90451468,32.77838341,50.42856885,33.07116236,25.00286057,12.47999954,9.25,,40.7745095
111,112,21.66928927,92.35770519,18.66249807,42.72256141,30.50948612,33.03120449,51.68349505,33.19749375,25.00286057,,,,40.7745095
112,113,37.71324258,95.10836426,30.37402719,39.77526323,,25.53202981,67.44608549,,,3.25,1.809999943,,
113,114,37.57558911,94.95185447,28.78047367,41.78473453,,27.95734776,68.40722853,,,,,,
114,115,37.43503167,94.79541452,27.19422341,43.77924567,,30.36602066,69.37269594,51.12891228,35.65791991,,,,80.64873874
115,116,37.29140151,94.63904439,25.61568447,45.75850584,,32.75804851,70.34248774,51.22024391,35.65791991,,,,80.64873874
116,117,37.14470037,94.4827441,24.04485241,47.72264407,,35.13343129,71.31660392,51.31157723,35.65791991,,,,80.64873874
117,118,36.9950616,94.32651364,22.48142121,49.67213148,,37.49216902,72.29504447,51.40335696,35.65791991,,,,80.64873874
118,119,36.8424667,94.17035302,20.92544848,51.60705916,,39.83426169,73.2778094,51.4955877,35.65791991,,,,80.64873874
119,120,36.68689376,94.01426222,19.37698998,53.52751508,,42.1597093,74.26489872,54.71970112,39.90985399,,,,81.73612695
120,121,36.52810071,93.85824126,17.8366043,55.43297181,,44.46851186,75.25631241,57.93038961,44.16178807,2.940000057,1.649999976,,82.82351515
